Date Time,Temperature,Humidity,Pressure,Light
"05/15/2022, 10:53:52",24.0,72.0,102.0,Light Off
"05/15/2022, 10:53:56",23.0,72.0,102.0,Light Off
"05/15/2022, 10:54:00",23.0,72.0,102.1,Light Off
"05/15/2022, 10:54:04",23.0,72.0,102.0,Light Off
"05/15/2022, 10:54:08",23.0,72.0,102.0,Light Off
"05/15/2022, 10:54:12",23.0,72.0,102.0,Light Off
"05/15/2022, 10:54:16",23.0,71.0,102.0,Light Off
"05/15/2022, 10:54:20",23.0,71.0,102.0,Light Off
"05/15/2022, 10:54:24",23.0,71.0,102.0,Light Off
"05/15/2022, 10:54:28",23.0,71.0,102.0,Light On
"05/15/2022, 10:54:32",23.0,71.0,102.0,Light Off
"05/15/2022, 10:54:36",23.0,72.0,102.0,Light Off
"05/15/2022, 10:54:40",23.0,71.0,102.0,Light On
"05/15/2022, 10:54:44",23.0,71.0,102.0,Light On
"05/15/2022, 10:54:48",23.0,71.0,102.0,Light On
"05/15/2022, 10:54:52",23.0,71.0,102.0,Light On
"05/15/2022, 10:54:56",23.0,71.0,102.0,Light On
"05/15/2022, 10:55:00",23.0,72.0,102.0,Light On
"05/15/2022, 10:55:04",23.0,71.0,102.0,Light On
"05/15/2022, 10:55:08",23.0,71.0,102.0,Light On
"05/15/2022, 10:55:12",23.0,71.0,102.0,Light Off
"05/15/2022, 10:55:16",23.0,72.0,102.0,Light Off
"05/15/2022, 10:55:20",23.0,72.0,102.0,Light Off
"05/15/2022, 10:55:24",E,r,102.0,Light Off
"05/15/2022, 10:55:28",23.0,72.0,102.0,Light Off
"05/15/2022, 10:55:32",23.0,72.0,102.0,Light Off
"05/15/2022, 10:55:36",23.0,72.0,102.0,Light Off
"05/15/2022, 10:55:40",23.0,72.0,102.0,Light On
"05/15/2022, 10:55:44",23.0,72.0,102.0,Light Off
"05/15/2022, 10:55:48",23.0,71.0,102.0,Light Off
